truss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,1.1388537427336964,1.1388537427336964,1.1130899316730458,1.1130899316730458,1.091428784539276,1.091428784539276,1.0637725481342517,1.0637725481342517,1.0427973533609034,1.0427973533609034,1.0231616505181687,1.0231616505181687,1.0010976265069835,1.0010976265069835,0.983868401199689,0.983868401199689,0.9604661546817008,0.9604661546817008,0.9337944224026624,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,0.983868401199689,0.983868401199689,0.9604661546817008,0.9604661546817008,0.9337944224026624,0.9337944224026624,0.9098654254767347,0.9098654254767347,0.8916138164076761,0.8916138164076761,0.8718785096541194,0.8718785096541194,0.8498578553500256,0.8498578553500256,0.8275773282061116,0.8275773282061116,0.8099887402470449,0.8099887402470449,0.7923133562154464,0.7923133562154464,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,0.8275773282061116,0.8275773282061116,0.8275773282061116,0.8275773282061116,0.8099887402470449,0.8099887402470449,0.8099887402470449,0.8099887402470449,0.7923133562154464,0.7923133562154464,0.7923133562154464,0.7923133562154464,0.7730719253852065,0.7730719253852065,0.7730719253852065,0.7730719253852065,0.751725490598601,0.751725490598601,0.751725490598601,0.751725490598601,0.736240300699555,0.736240300699555,0.736240300699555,0.736240300699555,0.7201509497388182,0.7201509497388182,0.7201509497388182,0.7201509497388182,0.7045096795831112,0.7045096795831112,0.7045096795831112,0.7045096795831112,0.6882742922875071,0.6882742922875071,0.6882742922875071,0.6882742922875071,0.67177193004648,None,None,None
7,0.7045096795831112,0.7045096795831112,0.6882742922875071,0.6882742922875071,0.67177193004648,0.67177193004648,0.6543067421396408,0.6543067421396408,0.6383514362929917,0.6383514362929917,0.6249237975968858,0.6249237975968858,0.6040954611256597,0.6040954611256597,0.5895571810702899,0.5895571810702899,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,0.5895571810702899,0.5895571810702899,0.5755947082882927,0.5755947082882927,0.5609330531363026,0.5609330531363026,0.5480101299073136,0.5480101299073136,0.5329511396148195,0.5329511396148195,0.5162929452231003,0.5162929452231003,0.49554842949901656,0.49554842949901656,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,0.4705869241366875,0.4391937524642544,0.41702037641190864,0.3984612896139273,0.37695014637014956,0.35419423716243215,0.3305997205111947,0.31752598249520547,0.3050073157210924,0.2907114739228269,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,0.31752598249520547,0.31752598249520547,0.3050073157210924,0.3050073157210924,0.2907114739228269,0.2907114739228269,0.2773524931540622,0.2773524931540622,0.2534981172035699,0.2534981172035699,0.23833016102887633,0.23833016102887633,0.22477201662127982,0.22477201662127982,0.20934923575730946,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
