truss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2.690850847830001,2.426434784130001,2.18445515043,1.9638174867300007,1.7634273330300003,1.5821902293300008,1.4190117156299997,1.2727973319300006,1.1424526182300005,1.0268831145300004,0.9335253857749659,0.8506965904200966,0.7775689503840744,0.7133146875855829,0.6571060239433059,0.6081151813759258,0.5655143818021262,0.5284758471405899,0.4961717993099998,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,3.9570201299999996,3.491188950810001,3.069934032959999,2.690850847830001,2.3515348668,2.0495815612500006,1.7825864025600007,1.54814486211,1.3438524112800008,1.1673045214500004,1.0771309359937502,0.9949298076000005,0.9202394109562502,0.8525980207500004,0.7915439116687499,0.7366153583999998,0.6873506356312502,0.64328801805,0.60396578034375,0.5689221972000001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,3.629662218930001,3.4632059291859854,3.302865537168478,3.148518215639274,3.0000411373601743,2.8573114750929753,2.7202064015994813,2.588603089641487,2.462378711980796,2.3414104413792036,2.225575450598513,2.114750912400519,2.008813999547025,1.9076418847998269,1.8111117409207258,1.7191007406715224,1.6314860568140137,1.548144862109999,1.4864391974967197,1.4271675560755022,1.3702728275863885,1.3156979017694195,1.263385668364636,1.2132790171120789,1.1653208377517883,1.1194540200238068,1.0756214536681736,1.0337660284249293,0.993830634034116,0.9557581602357731,0.9194914967699429,0.884973533376666,0.8521471597959815,0.8209552657679328,0.7913407410325589,0.7632464753299012,0.7366153583999998,None,None,None
7,2.7465227446500005,2.597598273775889,2.455497630177113,2.320045725780437,2.1910674725126245,2.068387782300438,1.9518315670706423,1.8412237387499997,1.6323981938524803,1.4463124132467182,1.2814594430816606,1.1363323295062504,1.0094241186694335,0.8992278567201564,0.8042365898073637,0.7229433640800003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,1.9221546779099987,1.8313292047162504,1.744459794,1.6614467130937498,1.5821902293299996,1.5065906100412505,1.4345481225599996,1.3459422124513998,1.262973667970379,1.1854225728555396,1.1130690108454815,1.0456930656788048,0.9830748210941113,0.9249943608300005,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2.02783299936,1.6704830536799995,1.3734159648,1.130248842,0.9345987945600001,0.8274117599999999,0.7366153583999998,0.6603183628800001,0.5966295465599998,0.54365768256,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,0.8192454467100001,0.7838762617162504,0.7506901140000002,0.71958727089375,0.69046799973,0.6632325678412501,0.6377812425599998,0.5847727825537502,0.5396678286300001,0.5011994065312501,0.46810054200000006,0.43910426077875,0.4129435886100002,0.38835155123625004,0.3640611744,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
