truss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,27.29057655000001,24.60887205000001,22.15471755,19.91701305000001,17.884658550000005,16.046554050000008,14.391599549999999,12.908695050000006,11.586740550000005,10.414636050000004,9.467803101165984,8.62775446673526,7.8860948314814845,7.234428880178326,6.664361297599451,6.167496768518518,5.735439977709191,5.359795609945131,5.032168349999998,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,40.13205,35.407595850000014,31.135233599999992,27.29057655000001,23.849238,20.786831250000006,18.078969600000008,15.701266350000001,13.629334800000008,11.838788250000004,10.924248843750002,10.090566000000006,9.333056906250002,8.647038750000004,8.02782871875,7.470743999999999,6.9711017812500025,6.524219250000001,6.12541359375,5.770002000000002,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,36.81199005000001,35.1237923852534,33.49762208081621,31.93223342433341,30.426380703450047,28.978818205811113,27.58830021906168,26.25358103084673,24.97341492881132,23.746556200600445,22.571759133859157,21.447778016232444,20.373367135365367,19.34728077890291,18.368273234490122,17.435098789772034,16.54651173239365,15.70126634999999,15.075448250473832,14.474315984538563,13.897290340632743,13.343792107194924,12.813242072663652,12.305061025477475,11.818669754074934,11.353489046894593,10.908939692374986,10.484442478954659,10.07941819507217,9.693287629166056,9.325471569674878,8.975390805037181,8.642466123691497,8.326118314076398,8.025768164630415,7.740836463792102,7.470743999999999,None,None,None
7,27.855200250000006,26.344810078862974,24.903627080903785,23.529875515014574,22.22177964008747,20.977563715014586,19.79545199868806,18.673668749999997,16.555762615136718,14.668482892968745,12.996546075878912,11.524668656250004,10.237567126464844,9.119957978906251,8.156557705957036,7.332082800000003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,19.49446934999999,18.573318506250004,17.69229,16.85037234375,16.046554049999997,15.279823631250006,14.549169599999997,13.650529538046651,12.809063569679301,12.022541306851316,11.28873236151604,10.605406345626823,9.970332871137032,9.381281550000006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,20.566257600000004,16.942018799999996,13.929168,11.462970000000002,9.478689600000001,8.3916,7.470743999999999,6.696940800000002,6.051009599999999,5.513769600000001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,8.308777350000002,7.950063506250004,7.613490000000002,7.29804534375,7.00271805,6.726496631250002,6.468369599999998,5.930758443750002,5.473304550000001,5.083158281250001,4.747470000000001,4.45339006875,4.188068850000002,3.9386567062500006,3.6923040000000005,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
